medcode	readcode	readterm	condition	score
32641	BB5RA00	[m]merkel cell carcinoma	Any malignancy	2
32649	N003000	juvenile dermatomyositis	Rheumatic disease	1
32671	G580100	chronic congestive heart failure	Congestive heart failure	1
32679	H34z.00	bronchiectasis nos	Chronic pulmonary disease	1
32727	H33z.11	hyperreactive airways disease	Chronic pulmonary disease	1
32739	9N0n.00	seen in community diabetes specialist clinic	Diabetes (uncomplicated)	1
32768	B325100	malignant melanoma of breast	Any malignancy	2
32770	44V3.00	glucose tol. test diabetic	Diabetes (uncomplicated)	1
3279	B831.00	carcinoma in situ of cervix uteri	Any malignancy	2
32854	G30B.00	acute posterolateral myocardial infarction	Myocardial infarction	1
32856	J130.00	acute peptic ulcer	Peptic ulcer disease	1
3286	F420100	proliferative diabetic retinopathy	Diabetes with end-organ damage	2
32898	8H2S.00	admit heart failure emergency	Congestive heart failure	1
32911	9Or..00	heart failure monitoring administration	Congestive heart failure	1
3293	F223.00	right hemiplegia	Hemiplegia or paraplegia	2
32945	8CL3.00	heart failure care plan discussed with patient	Congestive heart failure	1
32955	B41y.00	malignant neoplasm of other site of cervix	Any malignancy	2
33254	C105.00	diabetes mellitus with ophthalmic manifestation	Diabetes with end-organ damage	2
33271	B332200	malignant neoplasm of pinna nec	Any malignancy	2
33333	B62..00	other malignant neoplasm of lymphoid and histiocytic tissue	Any malignancy	2
33343	C10y.00	diabetes mellitus with other specified manifestation	Diabetes (uncomplicated)	1
33377	G651.00	vertebral artery syndrome	Cerebrovascular disease	1
33388	B071000	malignant neoplasm of adenoid	Any malignancy	2
33395	B560200	secondary and unspec malig neop superficial cervical ln	Metastatic solid tumour	4
33430	7A19400	operation on aneurysm of aorta nec	Peripheral vascular disease	1
33438	J121000	chronic duodenal ulcer without mention of complication	Peptic ulcer disease	1
33444	B221100	malignant neoplasm of hilus of lung	Any malignancy	2
33450	H32z.00	emphysema nos	Chronic pulmonary disease	1
33497	BB2J.00	"[m]squamous cell carcinoma, microinvasive"	Any malignancy	2
33499	G665.00	pure motor lacunar syndrome	Cerebrovascular disease	1
33543	G6X..00	cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	Cerebrovascular disease	1
33561	B803z00	carcinoma in situ of colon nos	Any malignancy	2
3357	B1...11	carcinoma of digestive organs and peritoneum	Any malignancy	2
33580	K03..00	nephritis and nephropathy unspecified	Renal disease	2
33597	J61yz00	other non-alcoholic chronic liver disease nos	Mild liver disease	1
33613	G720000	aneurysm of brachial artery	Peripheral vascular disease	1
33617	B43z.00	malignant neoplasm of body of uterus nos	Any malignancy	2
33636	BBQ7200	"[m]teratoma, malignant, nos"	Any malignancy	2
33650	7929100	percut transluminal coronary thrombolysis with streptokinase	Myocardial infarction	1
33658	13N8.00	bird fancier	Chronic pulmonary disease	1
3366	663V300	severe asthma	Chronic pulmonary disease	1
33663	H46zz00	respiratory conditions due to chemical fumes nos	Chronic pulmonary disease	1
33682	B337400	malignant neoplasm of skin of lower leg	Any malignancy	2
3371	BBg2.11	[m]non hodgkins lymphoma	Any malignancy	2
33730	H530000	single lung abscess	Chronic pulmonary disease	1
33734	BBEz.00	[m]naevi or melanoma nos	Any malignancy	2
33775	BB5J.00	[m]adenoid cystic carcinoma	Any malignancy	2
33807	C107200	"diabetes mellitus, adult with gangrene"	Diabetes with end-organ damage	2
33830	H56yz00	other alveolar and parietoalveolar disease nos	Chronic pulmonary disease	1
33833	B301.00	malignant neoplasm of mandible	Any malignancy	2
33843	B583.00	secondary malignant neoplasm of brain and spinal cord	Metastatic solid tumour	4
33869	BBgR.00	"[m]malignant lymphoma, large cell, diffuse nos"	Any malignancy	2
33871	B122.00	malignant neoplasm of ileum	Any malignancy	2
33897	BB4z.00	[m]transitional cell papilloma or carcinoma nos	Any malignancy	2
33914	761Jz00	operation on gastric ulcer nos	Peptic ulcer disease	1
33925	F233.00	congenital monoplegia	Hemiplegia or paraplegia	2
33943	65VE.00	notification of aids	HIV/AIDS	4
33969	C10A100	malnutrition-related diabetes mellitus with ketoacidosis	Diabetes (uncomplicated)	1
33997	B332000	malignant neoplasm of skin of auricle (ear)	Any malignancy	2
34000	BB80100	[m]cystadenocarcinoma nos	Any malignancy	2
34001	H4z..00	lung disease due to external agents nos	Chronic pulmonary disease	1
34012	B08..00	malignant neoplasm of hypopharynx	Any malignancy	2
34015	BB5S200	[m]bronchiolo-alveolar adenocarcinoma	Any malignancy	2
34030	BBL0.00	[m]endometrial stromal sarcoma	Any malignancy	2
34089	B62y400	malignant lymphoma nos of lymph nodes of axilla and arm	Any malignancy	2
34096	BB5b.00	[m]granular cell carcinoma	Any malignancy	2
34110	BB5R100	"[m]carcinoid tumour, malignant"	Any malignancy	2
34117	G67y.00	other cerebrovascular disease os	Cerebrovascular disease	1
34135	14A7.00	h/o: cva/stroke	Cerebrovascular disease	1
34145	B58y600	secondary malignant neoplasm of testis	Metastatic solid tumour	4
34152	G73y000	diabetic peripheral angiopathy	Diabetes with end-organ damage	2
34153	7A10200	axillo-bifemoral bypass graft	Peripheral vascular disease	1
34159	G742000	embolism and thrombosis of the brachial artery	Peripheral vascular disease	1
34202	9Oi1.00	chronic obstructive pulmonary disease monitoring 2nd letter	Chronic pulmonary disease	1
34215	9Oi2.00	chronic obstructive pulmonary disease monitoring 3rd letter	Chronic pulmonary disease	1
34245	9Om1.00	stroke/transient ischaemic attack monitoring second letter	Cerebrovascular disease	1
34252	BBb0.12	[m]gliosarcoma	Any malignancy	2
34259	B325300	malignant melanoma of groin	Any malignancy	2
34268	C10F200	type 2 diabetes mellitus with neurological complications	Diabetes with end-organ damage	2
34269	BB69100	[m]sebaceous adenocarcinoma	Any malignancy	2
34282	H50z.00	empyema nos	Chronic pulmonary disease	1
34283	C105z00	diabetes mellitus nos with ophthalmic manifestation	Diabetes with end-organ damage	2
34352	BBgG.12	[m]lymphoblastic lymphoma nos	Any malignancy	2
34375	9Om2.00	stroke/transient ischaemic attack monitoring third letter	Cerebrovascular disease	1
34388	B17z.00	malignant neoplasm of pancreas nos	Any malignancy	2
34395	BB24.00	[m]verrucous carcinoma nos	Any malignancy	2
34409	B010000	malignant neoplasm of base of tongue dorsal surface	Any malignancy	2
34450	C10FK00	hyperosmolar non-ketotic state in type 2 diabetes mellitus	Diabetes (uncomplicated)	1
34451	B31..00	malignant neoplasm of connective and other soft tissue	Any malignancy	2
3450	J615300	diffuse nodular cirrhosis	Mild liver disease	1
34528	3882	diabetes well being questionnaire	Diabetes (uncomplicated)	1
34541	8HVU.00	private referral to diabetologist	Diabetes (uncomplicated)	1
3458	663V000	occasional asthma	Chronic pulmonary disease	1
3462	J123.00	duodenal erosion	Peptic ulcer disease	1
34637	K080z00	renal osteodystrophy nos	Renal disease	2
34638	G731.00	thromboangiitis obliterans	Peripheral vascular disease	1
34648	K080100	renal dwarfism	Renal disease	2
34651	H500100	empyema with bronchopleural fistula	Chronic pulmonary disease	1
34659	H53z.00	abscess of lung and mediastinum nos	Chronic pulmonary disease	1
34669	K03y200	other interstitial nephritis	Renal disease	2
34696	E201400	hysterical paralysis	Hemiplegia or paraplegia	2
34742	B23z.00	malignant neoplasm of pleura nos	Any malignancy	2
34758	G641.11	cerebral embolus	Cerebrovascular disease	1
3480	H30z.00	bronchitis nos	Chronic pulmonary disease	1
34803	G30y.00	other acute myocardial infarction	Myocardial infarction	1
34823	B800500	carcinoma in situ of cheek	Any malignancy	2
34878	B308300	malignant neoplasm of medial cuneiform	Any malignancy	2
34879	BB5J.11	[m]cylindroid adenocarcinoma	Any malignancy	2
34880	N10..00	inflammatory spondylopathies	Rheumatic disease	1
34891	BBF2.00	[m]sarcomatosis nos	Any malignancy	2
34912	C109400	non-insulin dependent diabetes mellitus with ulcer	Diabetes with end-organ damage	2
34926	B625.00	letterer-siwe disease	Any malignancy	2
34944	Eu02z13	[x] primary degenerative dementia nos	Dementia	1
34946	B833200	carcinoma in situ of vagina	Any malignancy	2
34976	F11y.00	other cerebral degeneration	Dementia	1
34984	BB80.00	[m]cystadenoma and carcinoma	Any malignancy	2
34998	K020.00	chronic proliferative glomerulonephritis	Renal disease	2
350	K06..00	renal failure unspecified	Renal disease	2
35014	B622.00	sezary's disease	Any malignancy	2
35034	BBGJ.11	[m]fibroxanthosarcoma	Any malignancy	2
35039	B163.00	"malignant neoplasm, overlapping lesion of biliary tract"	Any malignancy	2
35053	B57..00	secondary malig neop of respiratory and digestive systems	Metastatic solid tumour	4
35058	B812100	carcinoma in situ of main bronchus	Any malignancy	2
35065	K03y.00	other nephritis and nephrosis unspecified	Renal disease	2
35105	C104100	"diabetes mellitus, adult onset, with renal manifestation"	Diabetes with end-organ damage	2
35106	F221.11	spastic foot	Hemiplegia or paraplegia	2
35107	C104z00	diabetes mellitus with nephropathy nos	Diabetes with end-organ damage	2
35113	Byu9.00	[x]malignant neoplasm of urinary tract	Any malignancy	2
35116	2G5L.00	o/e - left diabetic foot - ulcerated	Diabetes with end-organ damage	2
35136	B8z..00	carcinoma in situ nos	Any malignancy	2
3514	F141.00	hereditary spastic paraplegia	Hemiplegia or paraplegia	2
35180	Byu1.00	[x]malignant neoplasm of digestive organs	Any malignancy	2
35186	ByuC.00	"[x]malignant neoplasm of ill-defined, secondary and unspeci"	Metastatic solid tumour	4
35189	H530300	abscess of lung with pneumonia	Chronic pulmonary disease	1
352	J12..00	duodenal ulcer - (du)	Peptic ulcer disease	1
35211	7A26F00	reconstruction of brachial artery with vein graft	Peripheral vascular disease	1
35235	K04y.00	other acute renal failure	Renal disease	2
35285	ByuA.00	"[x]malignant neoplasm of eye, brain and other parts of cent"	Any malignancy	2
35288	C10E800	type 1 diabetes mellitus - poor control	Diabetes (uncomplicated)	1
3530	G73z.00	peripheral vascular disease nos	Peripheral vascular disease	1
35316	2G5H.00	o/e - right diabetic foot - ulcerated	Diabetes with end-organ damage	2
35321	8H3O.00	non-urgent diabetic admission	Diabetes (uncomplicated)	1
35325	Byu2.00	[x]malignant neoplasm of respiratory and intrathoracic orga	Any malignancy	2
35348	BB5T100	[m]papillary adenocarcinoma nos	Any malignancy	2
3535	G61z.00	intracerebral haemorrhage nos	Cerebrovascular disease	1
35357	B14..00	"malignant neoplasm of rectum, rectosigmoid junction and anus"	Any malignancy	2
35360	K100400	nonobstructive reflux-associated chronic pyelonephritis	Renal disease	2
35364	B576000	secondary malignant neoplasm of retroperitoneum	Metastatic solid tumour	4
35383	9OLD.00	diabetic patient unsuitable for digital retinal photography	Diabetes (uncomplicated)	1
35385	C10FH00	type 2 diabetes mellitus with neuropathic arthropathy	Diabetes with end-organ damage	2
35399	C107.00	diabetes mellitus with peripheral circulatory disorder	Diabetes with end-organ damage	2
3541	B48..00	malignant neoplasm of penis and other male genital organs	Any malignancy	2
35457	BB35.00	[m]basosquamous carcinoma	Any malignancy	2
35467	BB5az00	[m]renal adenoma or carcinoma nos	Any malignancy	2
35474	BB1C.00	[m]giant cell carcinoma	Any malignancy	2
3550	66A..00	diabetic monitoring	Diabetes (uncomplicated)	1
35529	G72y400	aneurysm of subclavian artery	Peripheral vascular disease	1
35535	B173.00	malignant neoplasm of pancreatic duct	Any malignancy	2
35540	F240100	spastic tetraplegia	Hemiplegia or paraplegia	2
35667	J661800	secondary sclerosing cholangitis	Mild liver disease	1
35674	14A3.00	h/o: myocardial infarct <60	Myocardial infarction	1
35771	ZV10y15	[v]personal history of malignant neoplasm of thyroid	Any malignancy	2
35772	B810000	carcinoma in situ of thyroid cartilage	Any malignancy	2
35785	F372100	chronic painful diabetic neuropathy	Diabetes with end-organ damage	2
35795	B174.00	malignant neoplasm of islets of langerhans	Any malignancy	2
35816	ZV10511	[v]personal history of malignant neoplasm of bladder	Any malignancy	2
3588	G72z.00	aneurysm nos	Peripheral vascular disease	1
3589	7A53400	operation on aneurysm of artery nec	Peripheral vascular disease	1
35916	7A20300	endarterectomy and patch repair of carotid artery	Cerebrovascular disease	1
35927	8CE2.00	asthma leaflet given	Chronic pulmonary disease	1
35963	B492.00	malignant neoplasm of lateral wall of urinary bladder	Any malignancy	2
35975	BB5z.00	[m]adenoma or adenocarcinoma nos	Any malignancy	2
35999	B582200	secondary malignant neoplasm of skin of neck	Metastatic solid tumour	4
36031	BB5D.00	[m]hepatobiliary tract adenomas and carcinomas	Any malignancy	2
3604	B627.00	non - hodgkin's lymphoma	Any malignancy	2
36056	7L0D115	sever operation for erb's palsy	Hemiplegia or paraplegia	2
36065	7A42011	endarterectomy and patch repair of common iliac artery	Peripheral vascular disease	1
3608	R014.00	[d]transient paralysis of a limb	Hemiplegia or paraplegia	2
36104	B800700	carcinoma in situ of nasopharynx	Any malignancy	2
36114	BBg1.00	[m]malignant lymphoma nos	Any malignancy	2
36125	K03U.00	"unspecif nephr synd, diff concentric glomerulonephritis"	Renal disease	2
36133	2835	o/e - paraplegia	Hemiplegia or paraplegia	2
36145	7A21400	operation on aneurysm of carotid artery	Peripheral vascular disease	1
36147	B153.00	secondary malignant neoplasm of liver	Metastatic solid tumour	4
36161	B012.00	"malignant neoplasm of tongue, tip and lateral border"	Any malignancy	2
36200	B575z00	secondary malig neop of large intestine or rectum nos	Metastatic solid tumour	4
36205	K0A5.00	hereditary nephropathy not elsewhere classified	Renal disease	2
3621	2837	o/e - diplegia	Hemiplegia or paraplegia	2
36221	BB5Sz00	[m]respiratory tract adenoma or adenocarcinoma nos	Any malignancy	2
36240	H352z00	bird-fancier's lung nos	Chronic pulmonary disease	1
36242	BBM7.11	"[m]cystosarcoma phyllodes, benign"	Any malignancy	2
36276	N043300	monarticular juvenile rheumatoid arthritis	Rheumatic disease	1
36286	BB5Lz00	[m]adenomatous or adenocarcinomatous polyp nos	Any malignancy	2
36294	A788z00	acquired human immunodeficiency virus infection syndrome nos	HIV/AIDS	4
36321	ZV67B00	[v]folow-up exam aft unspec treatment for malignant neoplasm	Any malignancy	2
36342	K032y13	mesangioproliferative glomerulonephritis nec	Renal disease	2
36371	B225.00	malignant neoplasm of overlapping lesion of bronchus & lung	Any malignancy	2
36390	G72y200	aneurysm of internal carotid artery	Peripheral vascular disease	1
36401	B587.00	secondary malignant neoplasm of adrenal gland	Metastatic solid tumour	4
36423	G36..00	certain current complication follow acute myocardial infarct	Myocardial infarction	1
36442	7L1B.11	placement ambulatory dialysis apparatus - compens renal fail	Renal disease	2
36443	7A41300	bypass iliac artery by femoral/femoral art anastomosis nec	Peripheral vascular disease	1
36461	J11y200	unspecified gastric ulcer with perforation	Peptic ulcer disease	1
36495	B161211	carcinoma common bile duct	Any malignancy	2
36530	BB5S211	[m]alveolar cell carcinoma	Any malignancy	2
36559	Q200011	intracerebral haemorrhage in fetus or newborn	Cerebrovascular disease	1
36583	J111111	bleeding chronic gastric ulcer	Peptic ulcer disease	1
36597	N04y.00	other specified inflammatory polyarthropathy	Rheumatic disease	1
36622	C370111	meconium ileus in cystic fibrosis	Chronic pulmonary disease	1
36633	C109K00	hyperosmolar non-ketotic state in type 2 diabetes mellitus	Diabetes (uncomplicated)	1
3665	H331.11	late onset asthma	Chronic pulmonary disease	1
36651	7A14z00	other replacement of aneurysmal segment of aorta nos	Peripheral vascular disease	1
36695	C10D.00	diabetes mellitus autosomal dominant type 2	Diabetes (uncomplicated)	1
3670	N001.00	scleroderma	Rheumatic disease	1
36706	H58y100	calcification of lung	Chronic pulmonary disease	1
36716	B04z.00	malignant neoplasm of floor of mouth nos	Any malignancy	2
36717	G640000	cerebral infarction due to thrombosis of cerebral arteries	Cerebrovascular disease	1
