medcode	readcode	readterm	condition
2462	B61..00	hodgkin's disease	Lymphoma
2464	D010.00	pernicious anaemia	Deficiency anaemia
24640	E110200	"single manic episode, moderate"	Psychoses
24641	M210.00	circumscribed scleroderma	Rheumatoid arthritis and collagen diseases
24675	B07..00	malignant neoplasm of nasopharynx	Solid tumour or leukaemia
24684	7A31300	operation on aneurysm of renal artery	Peripheral vascular disease
24689	E116100	"mixed bipolar affective disorder, mild"	Psychoses
24692	7A48.00	other bypass of femoral artery or popliteal artery	Peripheral vascular disease
24693	C109G00	non-insulin dependent diabetes mellitus with arthropathy	Diabetes with end-organ damage
24694	C108B00	insulin dependent diabetes mellitus with mononeuropathy	Diabetes with end-organ damage
2471	K01x100	nephrotic syndrome in diabetes mellitus	Diabetes with end-organ damage
24747	N04z.00	inflammatory polyarthropathy nos	Rheumatoid arthritis and collagen diseases
24748	C04y.00	other acquired hypothyroidism	Hypothyroidism
2475	C104.11	diabetic nephropathy	Diabetes (uncomplicated)
2478	66AJ100	brittle diabetes	Diabetes (uncomplicated)
24801	B800400	carcinoma in situ of floor of mouth	Solid tumour or leukaemia
24813	A707000	chronic viral hepatitis b with delta-agent	Liver disease
24814	H591.00	chronic respiratory failure	Chronic pulmonary disease
2482	D011100	vit b12 defic anaemia due to malabsorption with proteinuria	Deficiency anaemia
24836	C109C12	type 2 diabetes mellitus with nephropathy	Diabetes with end-organ damage
24852	B016.00	malignant neoplasm of lingual tonsil	Solid tumour or leukaemia
24870	D012.11	folic acid deficiency anaemia	Deficiency anaemia
24872	ZV01A00	[v]asymptomatic human immunodeficency virus infection status	HIV/AIDS
24884	663u.00	asthma causes daytime symptoms 1 to 2 times per week	Chronic pulmonary disease
2492	B33z.00	malignant neoplasm of skin nos	Solid tumour or leukaemia
24984	J671000	alcohol-induced chronic pancreatitis	Alcohol abuse
24989	G850.00	oesophageal varices with bleeding	Liver disease
24998	E247100	"other specified drug dependence, continuous"	Drug abuse
25013	H4...11	pneumoconioses	Chronic pulmonary disease
25041	ZC2CA00	dietary advice for type ii diabetes	Diabetes (uncomplicated)
25055	K100300	chronic pyonephrosis	Renal disease
25110	E013.00	alcohol withdrawal hallucinosis	Alcohol abuse
25114	E030400	"acute confusional state, of cerebrovascular origin"	Other neurological disorders
25147	G567.00	anomalous atrioventricular excitation	Cardiac arrythmia
25175	E259400	misuse of prescription only drugs	Drug abuse
25181	663e.00	asthma restricts exercise	Chronic pulmonary disease
25245	B336400	malignant neoplasm of skin of finger	Solid tumour or leukaemia
25249	H59..00	respiratory failure	Chronic pulmonary disease
25266	G572.00	paroxysmal tachycardia unspecified	Cardiac arrythmia
25310	B808000	carcinoma in situ of liver	Solid tumour or leukaemia
25324	F230.00	congenital diplegia	Paralysis
25330	F25y300	complex partial status epilepticus	Other neurological disorders
25341	J620100	liver abscess due to cholangitis	Liver disease
25366	B561300	secondary and unspec malig neop ant mediastinal lymph nodes	Metastatic cancer
25371	G241000	secondary benign renovascular hypertension	Hypertension (uncomplicated)
25372	B812z00	carcinoma in situ of bronchus or lung nos	Solid tumour or leukaemia
25386	E041.00	dementia in conditions ec	Other neurological disorders
25394	D215000	anaemia secondary to chronic renal failure	Renal disease
25438	G720100	aneurysm of radial artery	Peripheral vascular disease
25448	E252200	"nondependent cannabis abuse, episodic"	Drug abuse
25463	M210400	linear scleroderma	Rheumatoid arthritis and collagen diseases
25526	E252z00	nondependent cannabis abuse nos	Drug abuse
25535	B150.00	primary malignant neoplasm of liver	Solid tumour or leukaemia
25546	E102.00	catatonic schizophrenia	Psychoses
25563	E113z00	recurrent major depressive episode nos	Depression
25570	F23y200	spastic cerebral palsy	Paralysis
25582	K04z.00	acute renal failure nos	Renal disease
25583	G574011	cardiac arrest-ventricular fibrillation	Cardiac arrythmia
25589	C376100	alpha-1-antitrypsin hepatitis	Liver disease
25591	C10FQ00	type 2 diabetes mellitus with exudative maculopathy	Diabetes with end-organ damage
2560	E11..12	depressive psychoses	Depression
25602	B326400	malignant melanoma of finger	Solid tumour or leukaemia
25603	H310.00	simple chronic bronchitis	Chronic pulmonary disease
25615	G64z000	brainstem infarction	Other neurological disorders
25627	C10F700	type 2 diabetes mellitus - poor control	Diabetes (uncomplicated)
25636	66Aa.00	diabetic diet - poor compliance	Diabetes (uncomplicated)
25641	BB5D513	[m]liver cell carcinoma	Solid tumour or leukaemia
25697	E113300	"recurrent major depressive episodes, severe, no psychosis"	Depression
25700	ZV7C000	[v]assessment for liver transplant	Liver disease
25704	Eu00011	"[x]presenile dementia,alzheimer's type"	Other neurological disorders
25705	9OJ6.00	asthma monitor 3rd letter	Chronic pulmonary disease
25706	9OJ5.00	asthma monitor 2nd letter	Chronic pulmonary disease
25707	9OJ4.00	asthma monitor 1st letter	Chronic pulmonary disease
25723	3264	ecg: atrial ectopics	Cardiac arrythmia
25757	Eu13211	[x]drug addiction- sedative / hypnotics	Drug abuse
25786	D30..00	coagulation defects	Coagulopathy
25791	8CR0.00	asthma clinical management plan	Chronic pulmonary disease
25796	H332.00	mixed asthma	Chronic pulmonary disease
25844	7A32000	percutaneous transluminal angioplasty of renal artery	Peripheral vascular disease
2587	B22z.11	lung cancer	Solid tumour or leukaemia
25884	Z7E4300	truncal ataxia	Other neurological disorders
25886	B222100	malignant neoplasm of upper lobe of lung	Solid tumour or leukaemia
25913	C043.00	other iatrogenic hypothyroidism	Hypothyroidism
25925	13cE.00	prolonged high dose use of cannabis	Drug abuse
25961	BB17.00	[m]large cell carcinoma nos	Solid tumour or leukaemia
25968	C380500	generalised obesity	Obesity
25980	K08z.00	impaired renal function disorder nos	Renal disease
25986	D306.12	disseminated intravascular coagulation	Coagulopathy
26002	E02z.00	drug psychosis nos	Psychoses
26015	F255.00	partial epilepsy without impairment of consciousness	Other neurological disorders
26018	66YS.00	chronic obstructive pulmonary disease monitoring by nurse	Chronic pulmonary disease
26034	B591.00	other malignant neoplasm nos	Metastatic cancer
26054	C10FL00	type 2 diabetes mellitus with persistent proteinuria	Diabetes with end-organ damage
26061	E248.00	combined opioid with other drug dependence	Drug abuse
26082	H541000	chronic pulmonary oedema	Chronic pulmonary disease
26106	E231200	episodic chronic alcoholism	Alcohol abuse
26108	C10B000	steroid induced diabetes mellitus without complication	Diabetes (uncomplicated)
26115	8HHb.00	referral to heart failure nurse	Congestive heart failure
26119	E13yz00	other reactive psychoses nos	Psychoses
26120	BB5V.00	[m]pituitary adenomas and carcinomas	Solid tumour or leukaemia
26125	H312300	bronchiolitis obliterans	Chronic pulmonary disease
26134	B064000	"malignant neoplasm of epiglottis, free border"	Solid tumour or leukaemia
26143	Eu23112	[x]cycloid psychosis with symptoms of schizophrenia	Psychoses
26144	F251.00	generalised convulsive epilepsy	Other neurological disorders
26153	7918100	annuloplasty of tricuspid valve	Valvular disease
26161	E11..13	manic psychoses	Psychoses
26165	B211.00	malignant neoplasm of supraglottis	Solid tumour or leukaemia
26168	7912	plastic repair of tricuspid valve	Valvular disease
26178	8HHs.00	referral to psychosis early intervention service	Psychoses
26181	F12X.00	"secondary parkinsonism, unspecified"	Other neurological disorders
26227	E111.00	recurrent manic episodes	Psychoses
26232	7A14411	tube graft of abdominal aortic aneurysm	Peripheral vascular disease
26242	ZRad.00	new york heart assoc classification heart failure symptoms	Congestive heart failure
26253	BB5R900	[m]neuroendocrine carcinoma	Solid tumour or leukaemia
26261	ZV12711	[v]personal history of peptic ulcer	Peptic ulcer disease
26270	Eu02500	[x]lewy body dementia	Other neurological disorders
26278	H357.00	'ventilation' pneumonitis	Chronic pulmonary disease
26279	44I4200	low serum potassium level	Fluid and electrolyte disorders
26299	Eu31100	[x]bipolar affect disorder cur epi manic wout psychotic symp	Psychoses
26306	H320.00	chronic bullous emphysema	Chronic pulmonary disease
26318	G563.00	left main stem bundle branch block	Cardiac arrythmia
26319	G852200	oesophageal varices in cirrhosis of the liver	Liver disease
26323	Eu10711	[x]alcoholic dementia nos	Alcohol abuse
26327	D0y..00	other specified deficiency anaemias	Deficiency anaemia
26366	C22..00	other severe protein-calorie malnutrition (wt for age < 60%)	Weight loss
26367	A707.00	chronic viral hepatitis	Liver disease
2639	E204.11	postnatal depression	Depression
26393	B152.00	malignant neoplasm of liver unspecified	Solid tumour or leukaemia
2640	F24z.00	paralysis nos	Paralysis
26413	BB1A.00	[m]pleomorphic carcinoma	Solid tumour or leukaemia
26424	G64z400	infarction of basal ganglia	Other neurological disorders
26442	H441.00	cannabinosis	Chronic pulmonary disease
26448	B060000	malignant neoplasm of faucial tonsil	Solid tumour or leukaemia
26454	B45X.00	malignant neoplasm/overlapping lesion/feml genital organs	Solid tumour or leukaemia
26481	E021z00	drug-induced paranoia or hallucinatory state nos	Drug abuse
26496	679J.00	health education - asthma	Chronic pulmonary disease
26501	663s.00	asthma never causes daytime symptoms	Chronic pulmonary disease
26503	663v.00	asthma causes daytime symptoms most days	Chronic pulmonary disease
26504	663f.00	asthma never restricts exercise	Chronic pulmonary disease
26506	6.63E+102	asthma severely restricts exercise	Chronic pulmonary disease
26511	6672	follow-up epilepsy assessment	Other neurological disorders
26512	6678	epilepsy treatment changed	Other neurological disorders
2652	G634.00	carotid artery stenosis	Other neurological disorders
2654	7A20400	endarterectomy of carotid artery nec	Other neurological disorders
26603	9OL2.00	refuses diabetes monitoring	Diabetes (uncomplicated)
26604	66AY.00	diabetic diet - good compliance	Diabetes (uncomplicated)
26605	9OLB.00	attended diabetes structured education programme	Diabetes (uncomplicated)
26618	667Q.00	1 to 12 seizures a year	Other neurological disorders
26619	667K.00	epilepsy limits activities	Other neurological disorders
26620	667G.00	epilepsy restricts employment	Other neurological disorders
26626	P6z0.00	unspecified anomaly of heart valve	Valvular disease
2666	14A2.00	h/o: hypertension	Hypertension (uncomplicated)
26664	2G5B.00	o/e - left diabetic foot at risk	Diabetes (uncomplicated)
26666	2G5E.00	o/e - right diabetic foot at low risk	Diabetes (uncomplicated)
26667	2G5I.00	o/e - left diabetic foot at low risk	Diabetes (uncomplicated)
2669	G543300	"pulmonary stenosis, cause unspecified"	Valvular disease
26733	F255y00	partial epilepsy without impairment of consciousness os	Other neurological disorders
26813	B21y.00	"malignant neoplasm of larynx, other specified site"	Solid tumour or leukaemia
26814	BB5D512	"[m]hepatoma, malignant"	Solid tumour or leukaemia
26831	E255.00	nondependent opioid abuse	Drug abuse
26846	B81y700	carcinoma in situ of ethmoidal sinus	Solid tumour or leukaemia
26848	BB5S.00	[m]respiratory tract adenomas and adenocarcinomas	Solid tumour or leukaemia
2685	F135100	paroxysmal choreo-athetosis	Other neurological disorders
26853	B340.00	malignant neoplasm of nipple and areola of female breast	Solid tumour or leukaemia
26855	C108400	unstable insulin dependent diabetes mellitus	Diabetes (uncomplicated)
26858	BB5C.00	[m]gastrinoma and carcinomas	Solid tumour or leukaemia
26859	Eu21.18	[x]schizotypal personality disorder	Psychoses
26861	6.63E+02	asthma sometimes restricts exercise	Chronic pulmonary disease
26862	7B06300	exploration of renal transplant	Renal disease
26900	44I8100	raised serum calcium level	Fluid and electrolyte disorders
26929	44I4100	raised serum potassium level	Fluid and electrolyte disorders
26965	32F2.00	ecg: t wave abnormal	Cardiac arrythmia
26970	32J2.00	ecg: qrs complex abnormal	Cardiac arrythmia
26971	3294	ecg:partial a-v block-long p-r	Cardiac arrythmia
26976	329Z.00	ecg: heart block nos	Cardiac arrythmia
27053	4J34.00	hiv viral load	HIV/AIDS
2716	1465	h/o: depression	Depression
27174	43B5.00	hepatitis e antigen present	Liver disease
27175	43B4.00	hepatitis b surface antig +ve	Liver disease
27191	43j5.00	hepatitis c nucleic acid detection	Liver disease
27250	43M2.00	hepatitis a test positive	Liver disease
273	C04..13	hypothyroidism	Hypothyroidism
27311	B835.00	carcinoma in situ of penis	Solid tumour or leukaemia
27330	B624.00	leukaemic reticuloendotheliosis	Lymphoma
27331	F14z.00	spinocerebellar disease nos	Other neurological disorders
27335	K03y000	other nephritis and nephrosis in diseases ec	Renal disease
27342	E012.11	alcoholic dementia nos	Alcohol abuse
27345	H352.00	bird-fancier's lung	Chronic pulmonary disease
27348	H561.00	idiopathic pulmonary haemosiderosis	Chronic pulmonary disease
27363	BBd2.00	"[m]meningioma, malignant"	Solid tumour or leukaemia
27369	C362000	metabolic acidosis nec	Fluid and electrolyte disorders
27370	B333.00	malignant neoplasm skin of other and unspecified parts face	Solid tumour or leukaemia
27375	G561z00	atrioventricular block nos	Cardiac arrythmia
27377	F152200	progressive bulbar palsy	Paralysis
27389	G72yA00	aneurysm of hepatic artery	Peripheral vascular disease
27391	B576100	secondary malignant neoplasm of peritoneum	Metastatic cancer
2741	Eu30000	[x]hypomania	Psychoses
27416	B601.00	lymphosarcoma	Lymphoma
27427	K01z.00	nephrotic syndrome nos	Renal disease
27438	J615700	cardiac portal cirrhosis	Liver disease
27439	BBTA.00	[m]kaposi's sarcoma	Solid tumour or leukaemia
2744	B40..00	"malignant neoplasm of uterus, part unspecified"	Solid tumour or leukaemia
27449	B554.00	malignant neoplasm of upper limb nos	Solid tumour or leukaemia
27450	F135z00	other choreas nos	Other neurological disorders
2747	B41..00	malignant neoplasm of cervix uteri	Solid tumour or leukaemia
27483	B240.00	malignant neoplasm of thymus	Solid tumour or leukaemia
27491	E11y200	atypical depressive disorder	Depression
27494	G74y300	embolism and thrombosis of the iliac artery unspecified	Peripheral vascular disease
27509	BBP1.00	"[m]mesothelioma, malignant"	Solid tumour or leukaemia
27511	6628	poor hypertension control	Hypertension (uncomplicated)
27525	9OI..11	hypertension clinic admin.	Hypertension (uncomplicated)
27526	F255z00	partial epilepsy without impairment of consciousness nos	Other neurological disorders
27528	B303.00	"malignant neoplasm of ribs, sternum and clavicle"	Solid tumour or leukaemia
27533	C03z.12	cretinism	Hypothyroidism
27540	B4A1000	malignant neoplasm of renal calyces	Solid tumour or leukaemia
27542	B827300	carcinoma in situ of skin of lower leg	Solid tumour or leukaemia
